customer_id,customer_name,city,state,segment,signup_date
10001,Customer 0001,Chandigarh,Punjab,Corporate,2022-04-13
10002,Customer 0002,Hyderabad,Telangana,Small Business,2023-08-10
10003,Customer 0003,Bengaluru,Karnataka,Small Business,2024-05-16
10004,Customer 0004,Delhi,Delhi,Consumer,2024-02-20
10005,Customer 0005,Delhi,Delhi,Consumer,2022-09-04
10006,Customer 0006,Hyderabad,Telangana,Corporate,2023-02-13
10007,Customer 0007,Chandigarh,Punjab,Consumer,2023-04-23
10008,Customer 0008,Bengaluru,Karnataka,Small Business,2022-08-12
10009,Customer 0009,Ludhiana,Punjab,Consumer,2022-08-30
10010,Customer 0010,Chandigarh,Punjab,Consumer,2022-08-01
10011,Customer 0011,Pune,Maharashtra,Consumer,2024-06-14
10012,Customer 0012,Kolkata,West Bengal,Small Business,2023-11-03
10013,Customer 0013,Bengaluru,Karnataka,Consumer,2024-01-27
10014,Customer 0014,Hyderabad,Telangana,Consumer,2024-01-05
10015,Customer 0015,Bengaluru,Karnataka,Consumer,2024-05-13
10016,Customer 0016,Hyderabad,Telangana,Consumer,2022-04-05
10017,Customer 0017,Pune,Maharashtra,Consumer,2024-03-04
10018,Customer 0018,Ludhiana,Punjab,Corporate,2022-03-01
10019,Customer 0019,Hyderabad,Telangana,Consumer,2023-03-04
10020,Customer 0020,Delhi,Delhi,Small Business,2023-06-19
10021,Customer 0021,Pune,Maharashtra,Small Business,2022-11-19
10022,Customer 0022,Jaipur,Rajasthan,Consumer,2022-05-12
10023,Customer 0023,Ludhiana,Punjab,Consumer,2022-06-23
10024,Customer 0024,Kolkata,West Bengal,Corporate,2024-01-13
10025,Customer 0025,Hyderabad,Telangana,Consumer,2022-10-14
10026,Customer 0026,Bengaluru,Karnataka,Consumer,2022-10-07
10027,Customer 0027,Delhi,Delhi,Small Business,2024-04-11
10028,Customer 0028,Hyderabad,Telangana,Small Business,2022-05-10
10029,Customer 0029,Pune,Maharashtra,Corporate,2024-04-03
10030,Customer 0030,Delhi,Delhi,Consumer,2024-04-08
10031,Customer 0031,Delhi,Delhi,Corporate,2023-06-23
10032,Customer 0032,Ludhiana,Punjab,Corporate,2022-05-29
10033,Customer 0033,Chandigarh,Punjab,Consumer,2022-05-21
10034,Customer 0034,Pune,Maharashtra,Corporate,2022-09-14
10035,Customer 0035,Kolkata,West Bengal,Consumer,2023-06-04
10036,Customer 0036,Chandigarh,Punjab,Consumer,2022-05-19
10037,Customer 0037,Hyderabad,Telangana,Consumer,2023-02-15
10038,Customer 0038,Hyderabad,Telangana,Consumer,2022-04-14
10039,Customer 0039,Jaipur,Rajasthan,Consumer,2023-05-02
10040,Customer 0040,Bengaluru,Karnataka,Small Business,2022-01-20
10041,Customer 0041,Ludhiana,Punjab,Small Business,2023-10-01
10042,Customer 0042,Hyderabad,Telangana,Consumer,2022-02-19
10043,Customer 0043,Bengaluru,Karnataka,Small Business,2022-06-25
10044,Customer 0044,Jaipur,Rajasthan,Small Business,2022-06-07
10045,Customer 0045,Chandigarh,Punjab,Consumer,2024-01-18
10046,Customer 0046,Kolkata,West Bengal,Consumer,2022-02-18
10047,Customer 0047,Delhi,Delhi,Consumer,2023-01-22
10048,Customer 0048,Kolkata,West Bengal,Consumer,2023-06-17
10049,Customer 0049,Bengaluru,Karnataka,Corporate,2023-04-10
10050,Customer 0050,Hyderabad,Telangana,Consumer,2023-09-05
10051,Customer 0051,Hyderabad,Telangana,Consumer,2023-12-24
10052,Customer 0052,Ludhiana,Punjab,Consumer,2022-12-21
10053,Customer 0053,Jaipur,Rajasthan,Consumer,2024-01-16
10054,Customer 0054,Delhi,Delhi,Small Business,2022-10-14
10055,Customer 0055,Delhi,Delhi,Consumer,2024-06-04
10056,Customer 0056,Chandigarh,Punjab,Consumer,2023-03-31
10057,Customer 0057,Pune,Maharashtra,Consumer,2023-10-25
10058,Customer 0058,Ludhiana,Punjab,Consumer,2024-02-27
10059,Customer 0059,Bengaluru,Karnataka,Corporate,2023-12-15
10060,Customer 0060,Bengaluru,Karnataka,Consumer,2024-02-06
10061,Customer 0061,Kolkata,West Bengal,Consumer,2023-04-28
10062,Customer 0062,Bengaluru,Karnataka,Consumer,2022-02-09
10063,Customer 0063,Jaipur,Rajasthan,Small Business,2023-03-20
10064,Customer 0064,Kolkata,West Bengal,Corporate,2022-06-13
10065,Customer 0065,Delhi,Delhi,Corporate,2024-03-11
10066,Customer 0066,Jaipur,Rajasthan,Corporate,2022-08-02
10067,Customer 0067,Kolkata,West Bengal,Corporate,2022-07-25
10068,Customer 0068,Jaipur,Rajasthan,Consumer,2022-08-13
10069,Customer 0069,Chandigarh,Punjab,Consumer,2023-08-02
10070,Customer 0070,Delhi,Delhi,Consumer,2023-05-30
10071,Customer 0071,Hyderabad,Telangana,Consumer,2024-05-03
10072,Customer 0072,Ludhiana,Punjab,Small Business,2023-01-10
10073,Customer 0073,Delhi,Delhi,Consumer,2022-09-12
10074,Customer 0074,Ludhiana,Punjab,Corporate,2022-02-14
